veg,S
1.0,31.875749999999996
1.0,6.980199999999999
2.0,8.394475
1.0,5.4183
1.0,7.126175
2.0,12.44515
1.0,6.902575
1.0,55.278499999999994
1.0,6.460424999999999
1.0,9.40125
1.0,5.5611999999999995
1.0,9.9698
1.0,7.086525
1.0,11.620149999999999
1.0,10.4041
1.0,5.701350000000001
1.0,14.138649999999998
1.0,4.9094999999999995
1.0,12.935925
1.0,6.717899999999999
1.0,6.9872749999999995
1.0,6.3931249999999995
1.0,5.865774999999999
1.0,6.86095
1.0,5.605925
1.0,8.725999999999999
2.0,11.199749999999998
1.0,12.614049999999999
1.0,4.186624999999999
1.0,6.47885
2.0,14.33115
1.0,6.517149999999999
1.0,6.634624999999999
1.0,4.1865749999999995
1.0,7.729899999999999
1.0,6.727225
2.0,6.688274999999999
2.0,8.78005
1.0,7.292675
1.0,6.690574999999999
2.0,10.965
1.0,13.2422
1.0,6.798024999999999
1.0,14.423575000000001
1.0,7.030225
1.0,8.258774999999998
1.0,7.167475
1.0,5.576124999999999
1.0,6.108574999999999
1.0,6.25695
2.0,8.554575
1.0,7.7486
1.0,14.67935
1.0,16.780625
1.0,8.363174999999998
1.0,6.466475
1.0,7.6605
1.0,9.786125
1.0,33.57675
2.0,16.457675
1.0,23.101574999999997
2.0,8.594299999999999
1.0,7.67655
1.0,7.153074999999999
2.0,12.74385
1.0,4.018275
1.0,6.759475
2.0,13.595875
1.0,11.242174999999998
1.0,10.449424999999998
1.0,6.14225
1.0,12.45765
2.0,9.128549999999999
1.0,6.634925
1.0,11.141375
2.0,12.44415
2.0,9.894149999999998
1.0,14.575825
1.0,14.617524999999999
1.0,9.28305
1.0,7.069625
1.0,6.213024999999999
1.0,6.410024999999999
1.0,10.03975
1.0,9.282049999999998
2.0,10.968374999999998
1.0,10.260824999999999
1.0,6.865875
1.0,9.902575
2.0,10.962299999999999
1.0,5.2438
1.0,6.905074999999999
1.0,8.4357
1.0,9.10535
1.0,18.287924999999998
1.0,20.07155
1.0,5.770675000000001
1.0,7.15245
1.0,6.85725
1.0,5.092325
