veg69,veg12,S
1.0,1.0,0.07051974999999999
2.0,2.0,0.05389649999999999
1.0,1.0,0.06638875
1.0,1.0,0.4197949999999999
1.0,1.0,0.09814925
1.0,2.0,0.10775524999999998
1.0,1.0,0.057148500000000005
1.0,1.0,0.06856825
1.0,1.0,0.6497375
1.0,1.0,0.06109449999999999
2.0,1.0,0.1126065
1.0,2.0,0.12479549999999998
1.0,1.0,0.270325
1.0,1.0,0.32960999999999996
1.0,2.0,0.19610075
2.0,2.0,0.04638125
1.0,1.0,0.05579825000000001
1.0,1.0,0.06620999999999999
1.0,1.0,0.07306299999999999
1.0,1.0,0.11192025000000001
3.0,3.0,0.16500474999999998
1.0,3.0,0.08881
1.0,2.0,0.19325675
1.0,1.0,0.08271424999999999
1.0,1.0,0.105414
1.0,1.0,0.11700399999999998
2.0,2.0,0.09939599999999998
1.0,1.0,0.0656195
2.0,1.0,0.09390424999999998
1.0,1.0,0.08877424999999999
1.0,1.0,0.04445175
1.0,1.0,0.044962
1.0,3.0,0.23540874999999997
1.0,1.0,0.054411499999999995
1.0,1.0,0.05832224999999999
1.0,1.0,0.34014249999999996
1.0,1.0,0.079612
1.0,1.0,0.09873724999999998
1.0,1.0,0.0808105
1.0,1.0,0.073514
1.0,1.0,0.08433475
1.0,1.0,0.066303
3.0,2.0,0.09768374999999999
3.0,1.0,0.06544
1.0,1.0,0.12348749999999999
1.0,1.0,0.0743935
1.0,1.0,0.14361474999999999
1.0,1.0,0.062188
1.0,1.0,0.17954375
1.0,1.0,0.06803775
1.0,1.0,0.072248
1.0,1.0,0.066233
1.0,1.0,0.07453749999999999
1.0,1.0,0.10570299999999998
1.0,1.0,0.10933824999999998
1.0,1.0,0.08311724999999999
1.0,3.0,0.13610225
1.0,1.0,0.05623424999999999
1.0,2.0,0.10493499999999999
1.0,3.0,0.26308
2.0,2.0,0.13116775
1.0,1.0,0.16949924999999996
1.0,3.0,0.0801965
2.0,2.0,0.126833
2.0,2.0,0.10838125
1.0,2.0,0.11182324999999999
1.0,1.0,0.17640825
1.0,3.0,0.1111965
1.0,3.0,0.10098599999999999
1.0,1.0,0.04835
1.0,1.0,0.2611425
3.0,1.0,0.0557575
1.0,1.0,0.3240475
1.0,1.0,0.08416225000000001
1.0,3.0,0.28003999999999996
3.0,2.0,0.07643124999999999
1.0,1.0,0.23561125
1.0,1.0,0.07772975
1.0,2.0,0.10036825
1.0,3.0,0.08408124999999998
1.0,3.0,0.0841705
1.0,3.0,0.08901875000000001
1.0,1.0,0.070584
1.0,1.0,0.307315
1.0,3.0,0.09454074999999999
3.0,2.0,0.06128
1.0,1.0,0.06562375000000001
1.0,1.0,0.09721549999999998
1.0,1.0,0.0685095
1.0,3.0,0.12474175000000001
2.0,3.0,0.10234825
